
Custom 8-bit CPU emulator v1.0 - FULL OPCODES LIST
==================================================

Format:
HEX | BIN (AAA BBB CC) | INSTRUCTION

--- ALU (CC=00) --
00    000 000 00    ADC #imm
04    000 001 00    ADC abs
08    000 010 00    ADC abs+B
0C    000 011 00    ADC abs+C
10    000 100 00    ADC [DC]
14    000 101 00    ADC (ptr)
18    000 110 00    ADC (ptr)+B
1C    000 111 00    ADC [DC+B]

20    001 000 00    SBB #imm
24    001 001 00    SBB abs
28    001 010 00    SBB abs+B
2C    001 011 00    SBB abs+C
30    001 100 00    SBB [DC]
34    001 101 00    SBB (ptr)
38    001 110 00    SBB (ptr)+B
3C    001 111 00    SBB [DC+B]

40    010 000 00    AND #imm
44    010 001 00    AND abs
48    010 010 00    AND abs+B
4C    010 011 00    AND abs+C
50    010 100 00    AND [DC]
54    010 101 00    AND (ptr)
58    010 110 00    AND (ptr)+B
5C    010 111 00    AND [DC+B]

60    011 000 00    ORA #imm
64    011 001 00    ORA abs
68    011 010 00    ORA abs+B
6C    011 011 00    ORA abs+C
70    011 100 00    ORA [DC]
74    011 101 00    ORA (ptr)
78    011 110 00    ORA (ptr)+B
7C    011 111 00    ORA [DC+B]

80    100 000 00    XOR #imm
84    100 001 00    XOR abs
88    100 010 00    XOR abs+B
8C    100 011 00    XOR abs+C
90    100 100 00    XOR [DC]
94    100 101 00    XOR (ptr)
98    100 110 00    XOR (ptr)+B
9C    100 111 00    XOR [DC+B]
  
A0    101 000 00    CMP #imm
A4    101 001 00    CMP abs
A8    101 010 00    CMP abs+B
AC    101 011 00    CMP abs+C
B0    101 100 00    CMP [DC]
B4    101 101 00    CMP (ptr)
B8    101 110 00    CMP (ptr)+B
BC    101 111 00    CMP [DC+B]

C0    110 000 00    CPB #imm
C4    110 001 00    CPB abs
C8    110 010 00    CPB abs+B
CC    110 011 00    CPB abs+C
D0    110 100 00    CPB [DC]
D4    110 101 00    CPB (ptr)
D8    110 110 00    CPB (ptr)+B
DC    110 111 00    CPB [DC+B]

E0    111 000 00    CPC #imm
E4    111 001 00    CPC abs
E8    111 010 00    CPC abs+B
EC    111 011 00    CPC abs+C
F0    111 100 00    CPC [DC]
F4    111 101 00    CPC (ptr)
F8    111 110 00    CPC (ptr)+B
FC    111 111 00    CPC [DC+B]

-- MEMORY (CC=01) ---
01    000 000 01    LDA #imm
05    000 001 01    LDA abs
09    000 010 01    LDA abs+B
0D    000 011 01    LDA abs+C
11    000 100 01    LDA [DC]
15    000 101 01    LDA (ptr)
19    000 110 01    LDA (ptr)+B
1D    000 111 01    LDA [DC+B]

21    001 000 01    LDB #imm
25    001 001 01    LDB abs
29    001 010 01    LDB abs+B
2D    001 011 01    LDB abs+C
31    001 100 01    LDB [DC]
35    001 101 01    LDB (ptr)
39    001 110 01    LDB (ptr)+B
3D    001 111 01    LDB [DC+B]

41    010 000 01    LDC #imm
45    010 001 01    LDC abs
49    010 010 01    LDC abs+B
4D    010 011 01    LDC abs+C
51    010 100 01    LDC [DC]
55    010 101 01    LDC (ptr)
59    010 110 01    LDC (ptr)+B
5D    010 111 01    LDC [DC+B]

61    011 000 01    LDD #imm
65    011 001 01    LDD abs
69    011 010 01    LDD abs+B
6D    011 011 01    LDD abs+C
